"artistid","artist"
1134,chage and aska
1135,katze
1136,tm network
1137,day after tomorrow
1139,????
1140,philip chapman
1141,"emerson, lake and palmer"
1142,clarence henry
1144,john virkmann
1146,mickey & sylvia
1147,rancid
1148,ed motta
1149,alexandru andries
1151,"koerner, -spider- john, dave -snaker- ray, and tony -little "
1153,ella fitzgerald & billie holiday
1157,"garner, errol"
1158,memphis minnie
1159,schawkie roth
1160,condorkanki
1162,louis armstrong´s
1163,dick hyman and tom pletcher
1164,rhythm & blues-vol-1
1166,al cook
1171,boyzone
1175,gregor hilden
1176,big joe stolle
1177,kid sheik & jim robinson
1178,common
1179,piter wilkens
1180,midnight sax
1181,pino daniele
1185,jill scott
1187,bob brozman
1188,pedro&capricious
1189,metropolitan blues all-stars
1190,clifton chenier
1192,aventura
1196,peter thorup 16 tons trio
1198,albert king
1199,radio sakamoto
1200,o.v. wright
1201,snoop dogg
1202,groove juice
1204,"melvins, the"
1205,dimitri van toren en bart herman
1206,dragon ash
1207,solex
1208,kahimi karie
1210,schampoo
1212,natalia
1214,brandy
1215,los compadres
1217,david mead
1218,groove armada
1219,dixie dregs
1220,les innocents
1221,blondie
1222,k-maro
1223,judy and mary
1224,eros ramazzotti
1225,lindberg
1227,carlos puebla
1228,seiko and donnie wahlberg
1230,nathalie cardone
1231,"3t"
1232,rolf stahlhofen
1233,yuming
1234,robots
1235,vanessa williams
1237,soul'd out
1238,securité solaire
1240,craig david
1241,aretha franklin
1242,stevie b.
1243,paul carrack
1244,tina arena
1245,rupaul
1247,it's like this (bonus single);
1249,berlin symphonic sound orchestra (john williams);
1250,men at large
1251,inagakuen
1252,run & gun
1253,mr. mojo blues band
1254,megadeth
1256,wham!
1257,misia
1258,ua
1259,george michael
1260,kenny loggins
1262,medwyn goodall
1263,music gate
1264,wang jian-min
1265,rojo fama contra fama
1266,maria peterson & eva eensaar
1268,washoard sam
1270,orange blue
1271,the dreamers
1272,margot eskens
1273,original
1275,rosa henderson
1280,nevada barr
1282,bangkok blue
1286,sangeet kaur khalsa
1289,"peter green, mick green"
1290,hullie & wai
1293,gary burton
1296,raymond lefevre
1299,jessica williams
1300,festivalbar 2003
1301,rob tognoni
1302,bad boys blue
1304,le petit jazzband de mr morel
1305,stevie wonder
1307,yachines
1308,the rolling stones
1309,dead can dande
1311,janet jackson
1315,klaus lage
1316,il grande blues di repubblica
1317,a crossroads deal
1319,eddie floyd
1321,ous songs
1323,tina turner
1327,backstreet boys
1328,stereogram
1329,yoshida minako
1330,ralph stanley
1331,bourbon
1332,jentina
1333,tamia
